Column 1: year (1 = 1990)
Column 2: GDP with population change and climate change
Column 3: GDP without population change and climate change
Column 4: GDP with population change and without climate change
Column 5: GDP without population change and without climate change
Column 6: GDP/capita with population change and climate change
Column 7: GDP/capita without population change and climate change
Column 8: GDP/capita with population change and without climate change
Column 9: GDP/capita without population change and without climate change

                        Y,Y              N,Y           Y,N             N,N           Y,Y             N,Y          Y,N          N,N
                 1    36077.31431    36077.31431    36077.31431    36077.31431   0.006876449   0.006876449   0.006876449   0.006876449
                 2    36428.69199    36072.45963    36434.74700    36079.00496   0.006836209   0.006875524   0.006837345   0.006876772
                 3    36780.19488    36066.35415    36794.03092    36080.55033   0.006797215   0.006874360   0.006799772   0.006877066
                 4    37131.73248    36059.07066    37155.11038    36081.96291   0.006759396   0.006872972   0.006763652   0.006877335
                 5    37483.09368    36050.67516    37517.81037    36083.25409   0.006722662   0.006871372   0.006728888   0.006877581
                 6    37834.01276    36041.22742    37881.90254    36084.43433   0.006686918   0.006869571   0.006695382   0.006877806
                 7    38167.01911    36030.78155    38230.02184    36085.51314   0.006652531   0.006867580   0.006663512   0.006878012
                 8    38499.27476    36019.38655    38579.32181    36086.49925   0.006618952   0.006865408   0.006632714   0.006878200
                 9    38830.64739    36007.08663    38929.71232    36087.40062   0.006586127   0.006863064   0.006602930   0.006878372
                10    39160.99620    35993.92154    39281.09739    36088.22453   0.006554002   0.006860554   0.006574103   0.006878529
                11    39490.17530    35979.92701    39633.37728    36088.97764   0.006522526   0.006857887   0.006546178   0.006878672
                12    39819.36053    35965.13519    39987.83466    36089.66603   0.006490331   0.006855068   0.006517792   0.006878804
                13    40147.01382    35949.57497    40342.93350    36090.29527   0.006458727   0.006852102   0.006490246   0.006878924
                14    40473.01702    35933.27232    40698.60605    36090.87044   0.006427671   0.006848994   0.006463498   0.006879033
                15    40797.24261    35916.25052    41054.77485    36091.39618   0.006397123   0.006845750   0.006437505   0.006879133
                16    41119.55090    35898.53037    41411.35450    36091.87675   0.006367042   0.006842373   0.006412226   0.006879225
                17    41456.82168    35880.13019    41785.91079    36092.31601   0.006338774   0.006838865   0.006389092   0.006879309
                18    41800.52918    35861.06615    42170.02369    36092.71753   0.006310895   0.006835232   0.006366680   0.006879385
                19    42172.08431    35841.35273    42585.32836    36093.08455   0.006286733   0.006831474   0.006348336   0.006879455
                20    42534.43310    35821.00276    42993.77255    36093.42002   0.006260509   0.006827596   0.006328118   0.006879519
                21    42875.55722    35800.02768    43382.84133    36093.72667   0.006230949   0.006823598   0.006304671   0.006879578
                22    43211.71018    35778.43762    43769.56555    36094.00697   0.006201386   0.006819482   0.006281444   0.006879631
                23    43546.80991    35756.24157    44158.22680    36094.26318   0.006172016   0.006815252   0.006258674   0.006879680
                24    43880.87382    35733.44750    44548.82245    36094.49737   0.006141560   0.006810907   0.006235046   0.006879724
                25    44212.17345    35710.06254    44939.53880    36094.71144   0.006112712   0.006806450   0.006213276   0.006879765
                26    44546.28848    35686.09303    45336.28382    36094.90711   0.006084357   0.006801881   0.006192259   0.006879803
                27    44883.77091    35661.54475    45739.11077    36095.08597   0.006058613   0.006797202   0.006174070   0.006879837
                28    45192.49235    35636.42297    46114.72749    36095.24946   0.006029157   0.006792414   0.006152193   0.006879868
                29    45471.84996    35610.73261    46461.62701    36095.39890   0.005998156   0.006787517   0.006128716   0.006879896
