AREA,COUNTRY,D1,D2,D3,D4,DIS_LAKE,DIS_MAJOR_RIVER,DIS_OCEAN,DIS_RIVER,ELEV_SRTM,ELEV_SRTM_PRED,LAT,LONGITUDE,LONG_NAME,MATTVEG,MER1990_40,MER1995_40,MER2000_40,MER2005_40,NEWCOUNTRYID,POPGPW_1990_40,POPGPW_1995_40,POPGPW_2000_40,POPGPW_2005_40,PPP1990_40,PPP1995_40,PPP2000_40,PPP2005_40,PREC_NEW,PRECMAX,PRECMIN,PRECSD,PRECAVNEW80_08,PRECSDNEW80_08,QUALITY,RIG_xi0710,ROUGH,SOIL_UNIT,TEMP_NEW,TEMPAV_8008,TEMPMAX,TEMPMIN,TEMPSD,TEMPSD80_08,QUALITY_REVISION,DATE OF LAST,,,,,,,,,
0,Bosnia&Herzegovina,0,0,0,0,,,,,914.06,914.06,42,19,Bosnia and Herzegovina,10,0,0,0,0,70,0,0,0,0,0,0,0,0,2359,169.06,65.86,31.96,1659.642241,194.0714307,-1,0,0.48,1,9.53,9.576867862,19.05,-0.08,7.02,0.537472044,1,12/30/06,,,,,,,,,
10.47769,Brazil,252.8497,181.7542,168.6656,156.602,156602,181754.2,252849.7,168665.6,199.2563,199.2563,-32,-57,Federative Republic of Brazil,25,0.000199835,0.000235225,0.000230471,0,76,86.94270947,87.18441024,87.9291084,90.75428476,0.000372159,0.000438068,0.000429215,0,1346.5,127.19,84.29,12.24,1295.183624,352.9553034,-1,0.001,0.05,2,17.38,17.86048931,24.79,12.02,4.66,0.407418689,3,6/10/09,,,,,,,,,
33.62301,Brazil,639.8335,109.1993,109.1993,109.1993,580072.4,109199.3,639833.5,188349.1,255.1435,255.1435,-25,-56,Federative Republic of Brazil,9,0.000148499,0.000189997,0.00019397,0,76,74.81116861,75.01914369,75.65993049,78.09089619,0.000276554,0.000353838,0.000361238,0,1685,187.66,73.97,36.57,1540.211207,294.3702176,-1,0.002997003,0.05,11,21.53,22.07507069,26.1,17.02,3.36,0.640499451,3,6/10/09,,,,,,,,,
12.15342,Brazil,565.7923,565.7923,522.7566,522.7566,630609.5,683543.5,565792.3,522756.6,387.5679,387.5679,-11,-73,Federative Republic of Brazil,1,4.36478E-06,4.93632E-06,4.70222E-06,0,76,4.043846952,4.055088848,4.089725972,4.221129524,8.12868E-06,9.1931E-06,8.75711E-06,0,1650.5,284.08,65.45,85.96,1988.848276,186.5424153,-1,0.000998004,0.05,14,26.83,26.65581966,25.47,22.98,0.84,0.467276716,3,6/10/09,,,,,,,,,
36.46025,Brazil,604.4861,604.4861,547.9117,547.9117,615035.5,671245.9,604486.1,547911.6,367.7317,367.7317,-11,-72,Federative Republic of Brazil,1,1.30944E-05,1.4809E-05,1.41066E-05,0,76,12.13154086,12.16526654,12.26917792,12.66338857,2.4386E-05,2.75793E-05,2.62714E-05,0,2298.3,295.73,63.82,91.12,1931.658621,149.2396979,-1,0.002997003,0.04,52,26.73,26.75732793,25.83,23.15,0.92,0.432020974,3,6/10/09,,,,,,,,,
0,Brazil,0.2873,0.2873,0.2873,0.2873,522919.3,1508678,287.26,66590.9,0,0,-11,-36,Federative Republic of Brazil,0,0,0,0,0,76,0,0,0,0,0,0,0,0,1621.6,,,,#DIV/0!,#DIV/0!,-1,0,,0,25.45,#DIV/0!,,,,#DIV/0!,3,6/10/09,,,,,,,,,
0,Brazil,520.2774,441.4826,184.3687,184.3687,963283,441482.6,520277.4,184368.7,232.4209,232.4209,-8,-75,Federative Republic of Brazil,1,0,0,0,0,76,0,0,0,0,0,0,0,0,1784.5,237.14,75.8,53.18,1754.368966,212.152321,-1,0,0.04,52,26.4,26.02586276,26.9,25.42,0.49,0.472793666,3,6/10/09,,,,,,,,,
12.35509,Brazil,384.9028,384.9028,384.9028,341.525,341525,461270,384902.8,460950.9,244.2963,244.2963,2,-58,Federative Republic of Brazil,24,3.41092E-05,3.46433E-05,3.16871E-05,0,76,6.065770428,6.082633272,6.134588958,6.331694285,6.35229E-05,6.45173E-05,5.90119E-05,0,2073.4,370.78,47.54,105.32,2014.538793,329.2625026,-1,0.001,0.04,51,26.83,26.74454103,27.14,25.35,0.6,0.484444955,3,6/10/09,,,,,,,,,
12.34964,Brazil,0.8852,0.8852,0.8852,0.8852,486620.9,511721.4,885.16,546558.6,10.22034,10.22034,3,-51,Federative Republic of Brazil,0,0,0,0,0,76,0.314105812,0.364552487,0.420014857,0.478701968,0,0,0,0,3482.3,,,,#DIV/0!,#DIV/0!,-1,0.001,,0,26.33,#DIV/0!,,,,#DIV/0!,3,6/10/09,,,,,,,,,
0,Cameroon,627.4135,627.4135,19.5632,19.5632,446003.6,1007535,627413.5,19563.2,547.1895,547.1895,3,16,Republic of Cameroon,1,0,0,0,0,120,0,0,0,0,0,0,0,0,1620.4,232.69,25.16,71.51,1488.702586,135.5519522,-1,0,0.07,153,24.53,24.44101966,25.48,23.41,0.76,0.330652971,1,12/30/06,,,,,,,,,
